num,ocena
1,4a
2,4a/a+
3,4a+
4,4a+/b
5,4b
6,4b/b+
7,4b+
8,4b+/c
9,4c
10,4c/c+
11,4c+
12,4c+/5a
13,5a
14,5a/a+
15,5a+
16,5a+/b
17,5b
18,5b/b+
19,5b+
20,5b+/c
21,5c
22,5c/c+
23,5c+
24,5c+/6a
25,6a
26,6a/a+
27,6a+
28,6a+/b
29,6b
30,6b/b+
31,6b+
32,6b+/c
33,6c
34,6c/c+
35,6c+
36,6c+/7a
37,7a
38,7a/a+
39,7a+
40,7a+/b
41,7b
42,7b/b+
43,7b+
44,7b+/c
45,7c
46,7c/c+
47,7c+
48,7c+/8a
49,8a
50,8a/a+
51,8a+
52,8a+/b
53,8b
54,8b/b+
55,8b+
56,8b+/c
57,8c
58,8c/c+
59,8c+
60,8c+/9a
61,9a
62,9a/a+
63,9a+
