id,ime,ocena,dolzina,vzponi
1441,Slinavka,5a/a+,14,137 (96 plezalcev)
1442,Parkljevka,5b,14,150 (105 plezalcev)
1443,Brbonèica,6a+/b,14,134 (90 plezalcev)
1444,Harry Potter,6a+,16,139 (100 plezalcev)
1445,Bradavièarka,6a+,17,128 (87 plezalcev)
1446,Mojèina,5a+,17,163 (104 plezalcev)
1447,Ksenjina,5a,17,151 (100 plezalcev)
1448,Naritko Mitko,5a+/b,17,195 (119 plezalcev)
1449,Lukova,6c,17,170 (90 plezalcev)
1450,Jožetova,6a/a+,20,339 (155 plezalcev)
1451,Dragotova,6b,20,217 (107 plezalcev)
1452,Sorinina,6c,20,66 (32 plezalcev)
1453,Pepel,6b+,15,49 (32 plezalcev)
1454,Varianta pepela,6b,15,80 (54 plezalcev)
1455,Jumbo,7a/a+,17,140 (61 plezalcev)
1457,Meteorit,7c,19,18 (6 plezalcev)
1458,Poontang,7b+,16,14 (6 plezalcev)
1456,Sternschnuppe,7b,15,14 (10 plezalcev)
1459,Mièkena,6c+,12,178 (71 plezalcev)
1460,Frenkova,7a,23,98 (32 plezalcev)
1461,Johanova,7c,20,55 (16 plezalcev)
1462,Nido,7b,15,106 (43 plezalcev)
1463,Kinder garten,7a+,18,146 (51 plezalcev)
5864,Kinder garten direkt,7b,18,31 (17 plezalcev)
1464,Matamoros,7c,18,30 (14 plezalcev)
1465,Tekila,8a,19,43 (13 plezalcev)
1466,Durango,7b+,19,66 (33 plezalcev)
31558,Ninja želva,8c,19,
1467,Tortuga a,7b,13,119 (45 plezalcev)
1468,Tortuga b,7c,13,26 (8 plezalcev)
1469,Corto,8a,18,150 (26 plezalcev)
15401,White power,8a/a+,18,8
1470,Lazuret,8b,20,33
1471,Mr. Bighand,8b+,28,
1472,Gospodar prstanov,7c+,15,90 (17 plezalcev)
1473,Manana,7c/c+,12,35 (17 plezalcev)
1474,Hobit,7c,17,74 (30 plezalcev)
1475,Talk is cheap!,8c,15,2
30308,Vicious circle,9a+/b,16,
1476,Za staro kolo in majhnega psa,8c+,13,1
1477,Sanjski par,8c,10,
30309,Sanjski par extension,9a,16,
1478,Peskovnik,7b/b+,9,12
1479,Sistolitièni vrt,7b+,4,
1480,Pièkin dim,6b+,14,120 (51 plezalcev)
1481,Tazio,6c,14,129 (50 plezalcev)
1482,Kurèji rock,6c+,14,141 (48 plezalcev)
1483,Ribalton,7a+,18,101 (37 plezalcev)
1484,Èao bejbe,7c+/8a,20,23 (6 plezalcev)
1485,Iglu,8a,20,75 (16 plezalcev)
1486,Flash dance,7c,20,55 (16 plezalcev)
17323,Angie wall,7c,24,37 (7 plezalcev)
1487,Rock'n roll,7c+,22,163 (27 plezalcev)
1488,Galaktika,8a/a+,25,43
27134,The very long engagement,8a+/b,10,
1489,Strta srca,8a+,9,13
1490,Twin peaks,7c/c+,7,25 (8 plezalcev)
1491,Stinger,7c,24,33 (11 plezalcev)
1492,No fly zone,8b,24,1
1493,Skodelica kave,7b,23,52 (21 plezalcev)
1494,Nina,7b,21,106 (33 plezalcev)
1495,Danger zone,7a,19,283 (63 plezalcev)
1496,Nikita,7b+,19,48 (24 plezalcev)
1497,Minulet,7b+,19,191 (41 plezalcev)
17472,Ponarejeni Minulet,6c+,19,22 (10 plezalcev)
1498,Ponarejena želva,7a+/b,20,91 (28 plezalcev)
